Player Name,From Year
Alaa Abdelnaby,1991
Zaid Abdul-Aziz,1969
Kareem Abdul-Jabbar*,1970
Mahmoud Abdul-Rauf,1991
Tariq Abdul-Wahad,1998
Shareef Abdur-Rahim,1997
Tom Abernethy,1977
Forest Able,1957
John Abramovic,1947
Álex Abrines,2017
Precious Achiuwa,2021
Alex Acker,2006
Don Ackerman,1954
Mark Acres,1988
Bud Acton,1968
Quincy Acy,2013
Alvan Adams,1976
Don Adams,1971
George Adams,1973
Hassan Adams,2007
Jaylen Adams,2019
Jordan Adams,2015
Michael Adams,1986
Steven Adams,2014
Rafael Addison,1987
Bam Adebayo,2018
Deng Adel,2019
Rick Adelman*,1969
Jeff Adrien,2011
Arron Afflalo,2008
Ochai Agbaji,2023
Maurice Ager,2007
Mark Aguirre,1982
Blake Ahearn,2008
Danny Ainge,1982
Matt Aitch,1968
Alexis Ajinça,2009
Henry Akin,1967
Josh Akognon,2013
DeVaughn Akoon-Purcell,2019
Solomon Alabi,2011
Mark Alarie,1987
Gary Alcorn,1960
Santi Aldama,2022
Furkan Aldemir,2015
Cole Aldrich,2011
LaMarcus Aldridge,2007
Chuck Aleksinas,1985
Cliff Alexander,2016
Cory Alexander,1996
Courtney Alexander,2001
Gary Alexander,1994
Joe Alexander,2009
Kyle Alexander,2020
Ty-Shon Alexander,2021
Victor Alexander,1992
Nickeil Alexander-Walker,2020
Steve Alford,1988
Rawle Alkins,2019
Bill Allen,1968
Bob Allen,1969
Grayson Allen,2019
Jarrett Allen,2018
Jerome Allen,1996
Kadeem Allen,2018
Lavoy Allen,2012
Lucius Allen,1970
Malik Allen,2002
Randy Allen,1989
Ray Allen*,1997
Tony Allen,2005
Willie Allen,1972
Odis Allison,1972
Lance Allred,2008
Darrell Allums,1981
Morris Almond,2008
Derrick Alston,1995
Rafer Alston,2000
Peter Aluma,1999
Jose Alvarado,2022
John Amaechi,1996
Ashraf Amaya,1996
Al-Farouq Aminu,2011
Lou Amundson,2007
Bob Anderegg,1960
Chris Andersen,2002
David Andersen,2010
Alan Anderson,2006
Andy Anderson,1968
Antonio Anderson,2010
Cliff Anderson,1968
Dan Anderson,1968
Dan Anderson,1975
Derek Anderson,1998
Dwight Anderson,1983
Eric Anderson,1993
Greg Anderson,1988
J.J. Anderson,1983
James Anderson,2011
Jerome Anderson,1976
Justin Anderson,2016
Kenny Anderson,1992
Kim Anderson,1979
Kyle Anderson,2015
Michael Anderson,1989
Nick Anderson,1990
Richard Anderson,1983
Ron Anderson,1985
Ryan Anderson,2009
Shandon Anderson,1997
Willie Anderson,1989
Wally Anderzunas,1970
Martynas Andriuškevičius,2006
Don Anielak,1955
Ike Anigbogu,2018
Michael Ansley,1990
Chris Anstey,1998
Giannis Antetokounmpo,2014
Kostas Antetokounmpo,2019
Thanasis Antetokounmpo,2016
Carmelo Anthony,2004
Cole Anthony,2021
Greg Anthony,1992
Joel Anthony,2008
Pero Antić,2014
OG Anunoby,2018
Keith Appling,2016
Rafael Araújo,2005
Stacey Arceneaux,1962
Robert Archibald,2003
Tiny Archibald*,1971
Ryan Arcidiacono,2018
Jim Ard,1971
Gilbert Arenas,2002
Trevor Ariza,2005
Paul Arizin*,1951
Joe Arlauckas,1988
B.J. Armstrong,1990
Bob Armstrong,1957
Brandon Armstrong,2002
