Player,Position,Date,Fantasy Points,Average Points (Season)
Odell Beckham Jr.,WR,2015-09-13,4.4,15.6
Odell Beckham Jr.,WR,2015-09-20,20.6,15.6
Odell Beckham Jr.,WR,2015-09-24,13.9,15.6
Odell Beckham Jr.,WR,2015-10-04,3.8,15.6
Odell Beckham Jr.,WR,2015-10-11,18.4,15.6
Odell Beckham Jr.,WR,2015-10-19,12.1,15.6
Odell Beckham Jr.,WR,2015-10-25,3.5,15.6
Odell Beckham Jr.,WR,2015-11-01,31,15.6
Odell Beckham Jr.,WR,2015-11-08,10.5,15.6
Odell Beckham Jr.,WR,2015-11-15,16.4,15.6
Odell Beckham Jr.,WR,2015-11-29,20.2,15.6
Odell Beckham Jr.,WR,2015-12-06,20.9,15.6
Odell Beckham Jr.,WR,2015-12-14,28.6,15.6
Odell Beckham Jr.,WR,2015-12-20,13.6,15.6
Odell Beckham Jr.,WR,2016-01-03,5.4,15.6
Mike Evans,WR,2016-09-11,15.9,13
Mike Evans,WR,2016-09-18,13,13
Mike Evans,WR,2016-09-25,19.2,13
Mike Evans,WR,2016-10-02,5.9,13
Mike Evans,WR,2016-10-10,14.9,13
Mike Evans,WR,2016-10-23,21.6,13
Mike Evans,WR,2016-10-30,7,13
Mike Evans,WR,2016-11-03,27,13
Mike Evans,WR,2016-11-13,6.6,13
Mike Evans,WR,2016-11-20,10.5,13
Mike Evans,WR,2016-11-27,22.4,13
Mike Evans,WR,2016-12-04,5.8,13
Mike Evans,WR,2016-12-11,4.2,13
Mike Evans,WR,2016-12-18,5.9,13
Mike Evans,WR,2016-12-24,15.7,13
Mike Evans,WR,2017-01-01,12.5,13
Deshaun Watson,QB,2022-12-04,5.34,15.1
Deshaun Watson,QB,2022-12-11,16.34,15.1
Deshaun Watson,QB,2022-12-17,12.64,15.1
Deshaun Watson,QB,2022-12-24,11.8,15.1
Deshaun Watson,QB,2023-01-01,21.86,15.1
Deshaun Watson,QB,2023-01-08,17.6,15.1
Deshaun Watson,QB,2020-12-06,19.44,23.5
Deshaun Watson,QB,2020-12-13,16.56,23.5
Deshaun Watson,QB,2020-12-20,23.42,23.5
Deshaun Watson,QB,2020-12-27,26.76,23.5
Deshaun Watson,QB,2021-01-03,25.8,23.5
