Player,Position,Date,OPS,Average OPS
Ryan Braun,RF,2013-07-21,0.869,0.869
Ryan Braun,RF,2013-07-20,0.873,0.869
Ryan Braun,RF,2013-07-19,0.875,0.869
Ryan Braun,RF,2013-07-09,0.887,0.869
Ryan Braun,RF,2013-06-09,0.89,0.869
Ryan Braun,RF,2013-06-08,0.893,0.869
Ryan Braun,RF,2013-06-07,0.883,0.869
Ryan Braun,RF,2013-06-06,0.885,0.869
Ryan Braun,RF,2013-06-04,0.878,0.869
Ryan Braun,RF,2013-06-03,0.89,0.869
Ryan Braun,RF,2014-03-31,0.5,0.777
Ryan Braun,RF,2014-04-01,0.393,0.777
Ryan Braun,RF,2014-04-02,0.258,0.777
Ryan Braun,RF,2014-04-04,0.18,0.777
Ryan Braun,RF,2014-04-06,0.34,0.777
Ryan Braun,RF,2014-04-08,0.869,0.777
Alex Rodriguez,DH,2013-08-16,0.803,0.771
Alex Rodriguez,DH,2013-08-15,0.767,0.771
Alex Rodriguez,DH,2013-08-14,0.762,0.771
Alex Rodriguez,DH,2013-08-13,0.741,0.771
Alex Rodriguez,DH,2013-08-12,0.769,0.771
Alex Rodriguez,DH,2013-08-11,0.785,0.771
Alex Rodriguez,DH,2013-08-09,0.533,0.771
Alex Rodriguez,DH,2013-08-07,0.701,0.771
Alex Rodriguez,DH,2013-08-06,0.833,0.771
Alex Rodriguez,DH,2013-08-05,0.5,0.771
Alex Rodriguez,DH,2012-10-14,0.5,0.783
Alex Rodriguez,DH,2012-10-11,0.65,0.783
Alex Rodriguez,DH,2012-10-10,0,0.783
Alex Rodriguez,DH,2012-10-08,0.4,0.783
Alex Rodriguez,DH,2012-10-03,0.783,0.783
Alex Rodriguez,DH,2012-10-02,0.775,0.783
Alex Rodriguez,DH,2012-10-01,0.774,0.783
Alex Rodriguez,DH,2012-09-30,0.779,0.783
Alex Rodriguez,DH,2012-09-29,0.776,0.783
Alex Rodriguez,DH,2012-09-28,0.779,0.783
Fernando Tatis Jr.,RF,2021-10-03,0.975,0.975
Fernando Tatis Jr.,RF,2021-10-02,0.981,0.975
Fernando Tatis Jr.,RF,2021-10-01,0.981,0.975
Fernando Tatis Jr.,RF,2021-09-30,0.979,0.975
Fernando Tatis Jr.,RF,2021-09-29,0.976,0.975
Fernando Tatis Jr.,RF,2021-09-28,0.978,0.975
Fernando Tatis Jr.,RF,2021-09-26,0.987,0.975
Fernando Tatis Jr.,RF,2021-09-25,0.989,0.975
Fernando Tatis Jr.,RF,2021-09-24,0.996,0.975
Fernando Tatis Jr.,RF,2021-09-23,0.994,0.975
Fernando Tatis Jr.,RF,2023-05-01,0.812,0.77
Fernando Tatis Jr.,RF,2023-04-30,0.766,0.77
Fernando Tatis Jr.,RF,2023-04-29,0.714,0.77
Fernando Tatis Jr.,RF,2023-04-27,0.595,0.77
Fernando Tatis Jr.,RF,2023-04-26,0.609,0.77
Fernando Tatis Jr.,RF,2023-04-25,0.568,0.77
Fernando Tatis Jr.,RF,2023-04-23,0.544,0.77
Fernando Tatis Jr.,RF,2023-04-22,0.599,0.77
Fernando Tatis Jr.,RF,2023-04-21,0.222,0.77
Fernando Tatis Jr.,RF,2023-04-20,0,0.77
