Player,Position,Date,Points,Average Points (Season)
Malik Monk,SG,2020-02-25,8,11.7
Malik Monk,SG,2020-02-22,15,11.7
Malik Monk,SG,2020-02-20,25,11.7
Malik Monk,SG,2020-02-12,25,11.7
Malik Monk,SG,2020-02-10,17,11.7
Malik Monk,SG,2020-02-08,19,11.7
Malik Monk,SG,2020-02-04,19,11.7
Malik Monk,SG,2020-02-03,11,11.7
Malik Monk,SG,2020-02-01,11,11.7
Malik Monk,SG,2021-01-04,1,11.7
Malik Monk,SG,2021-01-13,0,11.7
Malik Monk,SG,2021-01-14,10,11.7
Malik Monk,SG,2021-01-16,2,11.7
Malik Monk,SG,2021-01-27,7,11.7
